Michal Z|10|1:30
Karolina|20|3:40
Damian|5|3:40
Player1|0|0
Player1|0|0
Player1|0|0
Player1|5|44
Player1|6|35
Player1|6|40
Player1|6|18
Player1|6|20
Player1|6|21
Player1|4|21
Player1|6|16
Player1|5|22
Player1|6|18
Player1|6|19
Player1|6|20
Player1|6|21
Player1|4|26
Player1|5|19
Player1|5|16
Player1|6|20
Player1|5|19
Player1|5|20
Player1|6|23
Player1|11|78
Player1|6|22
Player1|6|18
Player1|5|22
Player1|6|18
Player1|5|17
Player1|3|20
Player1|5|15
Player1|6|25
Player1|1|14
Player1|2|16
Player1|0|0
Player1|5|17
Player1|4|18
Player1|-1|11
Player1|5|13
Player1|3|20
Player1|2|20
Player1|4|16
Player1|5|18
Player1|4|22
Player1|2|18
Player1|2|18
Player1|1|18
Player1|1|10
Player1|5|16
Player1|4|18
Player1|6|20
Player1|6|24
Player1|7|18
Player1|5|22
Player1|6|20
Player1|6|20
Player1|5|19
Player1|6|20
Player1|4|23
Player1|6|20
Player1|7|18
Player1|7|21
Player1|4|56
Player1|4|79
Player1|7|24
Player1|6|23
